epoch,train_loss,train_perplexity,validation_perplexity,epoch_time_seconds,vocab_size,dataset,tokenizer
1,7.577350687272478,1953.4468123446381,1422.0511380582038,8.338422699999967,36000,one_billion,bpe_36000
2,7.11655582295786,1232.1992044640765,1411.1810716911439,7.3521244000000365,36000,one_billion,bpe_36000
3,7.062310393493955,1167.1386025591753,1309.5898564982988,7.743421899999987,36000,one_billion,bpe_36000
4,6.9765734530911585,1071.241412015109,1239.3644651661928,8.32988210000002,36000,one_billion,bpe_36000
5,6.903925607700159,996.1776525568043,1145.4903894005354,7.745695000000012,36000,one_billion,bpe_36000
