epoch,train_loss,train_perplexity,validation_perplexity,epoch_time_seconds,vocab_size,dataset,tokenizer
1,7.22657778937337,1375.5071650101843,1290.4575213140042,20.412357000000043,16000,wikitext103,bpe_16000
2,6.933251732639946,1025.8242683401108,904.4612204119301,20.053914000000077,16000,wikitext103,bpe_16000
3,6.622527296272033,751.8428276135513,753.6591099351717,19.990082099999995,16000,wikitext103,bpe_16000
4,6.432295528167191,621.5992100176109,638.2524663761947,19.822766,16000,wikitext103,bpe_16000
5,6.2636351501976435,525.1243807247048,556.341373442196,19.43144120000011,16000,wikitext103,bpe_16000
