epoch,train_loss,train_perplexity,validation_perplexity,epoch_time_seconds,vocab_size,dataset,tokenizer
1,7.38127704869921,1605.6389382262937,1181.6027635012867,6.632001000000059,16000,one_billion,bpe_16000
2,7.046064185204907,1148.3302218425529,1065.4700384195182,5.950192099999981,16000,one_billion,bpe_16000
3,6.905663615075227,997.910522097645,940.0204029461553,5.969799099999932,16000,one_billion,bpe_16000
4,6.791028241130793,889.8280493929213,845.3743271998546,6.008214799999905,16000,one_billion,bpe_16000
5,6.6746040103591495,792.0337546067021,763.8007327838683,6.199147900000071,16000,one_billion,bpe_16000
