dataset,tokenizer,tokenizer_family,vocab_size,avg_sequence_length,oov_rate,compression_ratio,compression_vs_word
wikitext103,word,word,45379.0,82.82186094776894,3.4196744042299048,0.19184061648461792,1.0
wikitext103,char,char,52.0,431.72224143894846,,1.0,5.212660479957234
wikitext103,bpe_2000,bpe,2000.0,125.78381182981667,,0.2913535596650613,1.5187271861609268
wikitext103,bpe_8000,bpe,8000.0,99.8602559667935,,0.2313067208072372,1.2057234023003867
wikitext103,bpe_16000,bpe,16000.0,92.65375302663438,,0.21461426846533435,1.1187113156641804
wikitext103,bpe_32000,bpe,32000.0,88.52542372881356,,0.2050518023666202,1.0688654265404822
wikitext103,bpe_50000,bpe,50000.0,86.81909373919059,,0.20109942320742819,1.0482630158955555
